Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=93, num_train_steps=500000, learning_starts=10000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=50000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=0.1, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=1, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30)
Episode: 1, total numsteps: 45, return: 5.13
Episode: 2, total numsteps: 62, return: 0.94
Episode: 3, total numsteps: 92, return: 6.38
Episode: 4, total numsteps: 112, return: -2.09
Episode: 5, total numsteps: 152, return: 11.86
Episode: 6, total numsteps: 169, return: -5.18
Episode: 7, total numsteps: 192, return: 5.31
Episode: 8, total numsteps: 207, return: -1.3
Episode: 9, total numsteps: 218, return: -0.84
Episode: 10, total numsteps: 235, return: 3.89
Episode: 11, total numsteps: 268, return: 0.13
Episode: 12, total numsteps: 286, return: 1.29
Episode: 13, total numsteps: 297, return: 0.32
Episode: 14, total numsteps: 309, return: 0.31
Episode: 15, total numsteps: 326, return: 0.16
Episode: 16, total numsteps: 353, return: 5.27
Episode: 17, total numsteps: 379, return: 3.17
Episode: 18, total numsteps: 392, return: 2.81
Episode: 19, total numsteps: 410, return: 0.65
Episode: 20, total numsteps: 431, return: -3.87
Episode: 21, total numsteps: 445, return: 0.8
Episode: 22, total numsteps: 474, return: 5.46
Episode: 23, total numsteps: 488, return: -1.77
Episode: 24, total numsteps: 508, return: 2.15
Episode: 25, total numsteps: 544, return: 14.27
Episode: 26, total numsteps: 577, return: 5.16
Episode: 27, total numsteps: 603, return: -0.25
Episode: 28, total numsteps: 626, return: 6.06
Episode: 29, total numsteps: 639, return: -2.02
Episode: 30, total numsteps: 671, return: 4.5
Episode: 31, total numsteps: 687, return: 0.7
Episode: 32, total numsteps: 711, return: -3.51
Episode: 33, total numsteps: 741, return: 11.59
Episode: 34, total numsteps: 763, return: -1.51
Episode: 35, total numsteps: 790, return: -4.26
Episode: 36, total numsteps: 812, return: 7.19
Episode: 37, total numsteps: 840, return: 0.2
Episode: 38, total numsteps: 853, return: -2.42
Episode: 39, total numsteps: 863, return: -1.11
Episode: 40, total numsteps: 878, return: 3.63
Episode: 41, total numsteps: 893, return: 1.12
Episode: 42, total numsteps: 908, return: -2.18
Episode: 43, total numsteps: 933, return: -1.19
Episode: 44, total numsteps: 951, return: 3.25
Episode: 45, total numsteps: 978, return: -4.82
Episode: 46, total numsteps: 992, return: -3.39
Episode: 47, total numsteps: 1010, return: -5.28
Episode: 48, total numsteps: 1034, return: 1.91
Episode: 49, total numsteps: 1049, return: 4.16
Episode: 50, total numsteps: 1066, return: -1.38
Episode: 51, total numsteps: 1085, return: 0.66
Episode: 52, total numsteps: 1108, return: -3.85
Episode: 53, total numsteps: 1126, return: -8.88
Episode: 54, total numsteps: 1156, return: -0.96
Episode: 55, total numsteps: 1176, return: 0.12
Episode: 56, total numsteps: 1199, return: 0.1
Episode: 57, total numsteps: 1252, return: 3.6
Episode: 58, total numsteps: 1272, return: -5.24
Episode: 59, total numsteps: 1297, return: -2.12
Episode: 60, total numsteps: 1310, return: -5.86
Episode: 61, total numsteps: 1341, return: -1.67
Episode: 62, total numsteps: 1359, return: -2.4
Episode: 63, total numsteps: 1374, return: -2.04
Episode: 64, total numsteps: 1389, return: 4.23
Episode: 65, total numsteps: 1413, return: -2.8
Episode: 66, total numsteps: 1429, return: 2.49
Episode: 67, total numsteps: 1442, return: -0.76
Episode: 68, total numsteps: 1460, return: -1.27
Episode: 69, total numsteps: 1469, return: -2.17
Episode: 70, total numsteps: 1496, return: 11.74
Episode: 71, total numsteps: 1513, return: -0.3
Episode: 72, total numsteps: 1524, return: 0.32
Episode: 73, total numsteps: 1539, return: -0.17
Episode: 74, total numsteps: 1559, return: -6.64
Episode: 75, total numsteps: 1571, return: -3.36
Episode: 76, total numsteps: 1608, return: 20.34
Episode: 77, total numsteps: 1622, return: 2.01
Episode: 78, total numsteps: 1655, return: 13.91
Episode: 79, total numsteps: 1680, return: 6.66
Episode: 80, total numsteps: 1696, return: -0.84
Episode: 81, total numsteps: 1718, return: 4.19
Episode: 82, total numsteps: 1744, return: 3.41
Episode: 83, total numsteps: 1760, return: -4.11
Episode: 84, total numsteps: 1787, return: 5.97
Episode: 85, total numsteps: 1841, return: 6.78
Episode: 86, total numsteps: 1852, return: -1.49
Episode: 87, total numsteps: 1868, return: -6.68
Episode: 88, total numsteps: 1882, return: -2.8
Episode: 89, total numsteps: 1902, return: -4.17
Episode: 90, total numsteps: 1935, return: 18.21
Episode: 91, total numsteps: 1959, return: -4.81
Episode: 92, total numsteps: 1981, return: -1.86
Episode: 93, total numsteps: 1995, return: -7.31
Episode: 94, total numsteps: 2016, return: 10.29
Episode: 95, total numsteps: 2032, return: 3.58
Episode: 96, total numsteps: 2056, return: -2.77
Episode: 97, total numsteps: 2077, return: 6.37
Episode: 98, total numsteps: 2088, return: -0.96
Episode: 99, total numsteps: 2119, return: 19.66
Episode: 100, total numsteps: 2150, return: 4.01
Episode: 101, total numsteps: 2178, return: 8.99
Episode: 102, total numsteps: 2194, return: -1.87
Episode: 103, total numsteps: 2207, return: -2.16
Episode: 104, total numsteps: 2233, return: 4.93
Episode: 105, total numsteps: 2268, return: 3.21
Episode: 106, total numsteps: 2299, return: -4.95
Episode: 107, total numsteps: 2312, return: -2.87
Episode: 108, total numsteps: 2328, return: 4.39
Episode: 109, total numsteps: 2338, return: -0.72
Episode: 110, total numsteps: 2351, return: 1.95
Episode: 111, total numsteps: 2380, return: 5.06
Episode: 112, total numsteps: 2392, return: -4.15
Episode: 113, total numsteps: 2406, return: -0.74
Episode: 114, total numsteps: 2427, return: -0.86
Episode: 115, total numsteps: 2452, return: -1.41
Episode: 116, total numsteps: 2478, return: 2.96
Episode: 117, total numsteps: 2496, return: 7.06
Episode: 118, total numsteps: 2511, return: -2.0
Episode: 119, total numsteps: 2523, return: 2.67
Episode: 120, total numsteps: 2551, return: 5.98
Episode: 121, total numsteps: 2564, return: 1.38
Episode: 122, total numsteps: 2583, return: 3.28
Episode: 123, total numsteps: 2618, return: 17.84
Episode: 124, total numsteps: 2628, return: -1.49
Episode: 125, total numsteps: 2644, return: -3.79
Episode: 126, total numsteps: 2661, return: 2.97
Episode: 127, total numsteps: 2677, return: -4.58
Episode: 128, total numsteps: 2708, return: 3.89
Episode: 129, total numsteps: 2725, return: 2.26
Episode: 130, total numsteps: 2753, return: 14.53
Episode: 131, total numsteps: 2768, return: -5.49
Episode: 132, total numsteps: 2791, return: 10.03
Episode: 133, total numsteps: 2803, return: -1.78
Episode: 134, total numsteps: 2821, return: -10.34
Episode: 135, total numsteps: 2841, return: -4.8
Episode: 136, total numsteps: 2878, return: 4.51
Episode: 137, total numsteps: 2901, return: 1.67
Episode: 138, total numsteps: 2920, return: 1.58
Episode: 139, total numsteps: 2930, return: -2.22
Episode: 140, total numsteps: 2951, return: 6.75
Episode: 141, total numsteps: 2970, return: -0.57
Episode: 142, total numsteps: 2982, return: -3.35
Episode: 143, total numsteps: 3004, return: -2.23
Episode: 144, total numsteps: 3030, return: 5.86
Episode: 145, total numsteps: 3065, return: 8.17
Episode: 146, total numsteps: 3087, return: 7.54
Episode: 147, total numsteps: 3105, return: -8.43
Episode: 148, total numsteps: 3116, return: -4.16
Episode: 149, total numsteps: 3132, return: 0.75
Episode: 150, total numsteps: 3161, return: -0.94
Episode: 151, total numsteps: 3181, return: 3.79
Episode: 152, total numsteps: 3201, return: -1.76
Episode: 153, total numsteps: 3212, return: -0.89
Episode: 154, total numsteps: 3234, return: 4.74
Episode: 155, total numsteps: 3257, return: -4.74
Episode: 156, total numsteps: 3284, return: 5.46
Episode: 157, total numsteps: 3295, return: 1.93
Episode: 158, total numsteps: 3314, return: -4.01
Episode: 159, total numsteps: 3329, return: -3.95
Episode: 160, total numsteps: 3344, return: 0.99
Episode: 161, total numsteps: 3357, return: 0.42
Episode: 162, total numsteps: 3381, return: -1.63
Episode: 163, total numsteps: 3402, return: -6.14
Episode: 164, total numsteps: 3437, return: 8.35
Episode: 165, total numsteps: 3452, return: -2.57
Episode: 166, total numsteps: 3472, return: -0.44
Episode: 167, total numsteps: 3487, return: 1.66
Episode: 168, total numsteps: 3519, return: 4.49
Episode: 169, total numsteps: 3529, return: -2.12
Episode: 170, total numsteps: 3550, return: 6.08
Episode: 171, total numsteps: 3571, return: -1.13
Episode: 172, total numsteps: 3588, return: 3.98
Episode: 173, total numsteps: 3610, return: 1.93
Episode: 174, total numsteps: 3619, return: -2.3
Episode: 175, total numsteps: 3637, return: 3.05
Episode: 176, total numsteps: 3656, return: 2.82
Episode: 177, total numsteps: 3670, return: 1.83
Episode: 178, total numsteps: 3682, return: -4.08
Episode: 179, total numsteps: 3713, return: 10.29
Episode: 180, total numsteps: 3727, return: 0.4
Episode: 181, total numsteps: 3744, return: 0.24
Episode: 182, total numsteps: 3754, return: -2.52
Episode: 183, total numsteps: 3775, return: -3.58
Episode: 184, total numsteps: 3791, return: -5.94
Episode: 185, total numsteps: 3836, return: 20.69
Episode: 186, total numsteps: 3853, return: -6.35
Episode: 187, total numsteps: 3863, return: -4.42
Episode: 188, total numsteps: 3877, return: -1.71
Episode: 189, total numsteps: 3898, return: 10.0
Episode: 190, total numsteps: 3908, return: -1.22
Episode: 191, total numsteps: 3925, return: 3.04
Episode: 192, total numsteps: 3944, return: -3.68
Episode: 193, total numsteps: 3957, return: 0.17
Episode: 194, total numsteps: 3995, return: 7.42
Episode: 195, total numsteps: 4010, return: 3.55
Episode: 196, total numsteps: 4034, return: 7.14
Episode: 197, total numsteps: 4050, return: -1.68
Episode: 198, total numsteps: 4083, return: 6.43
Episode: 199, total numsteps: 4107, return: 4.87
Episode: 200, total numsteps: 4122, return: -2.75
Episode: 201, total numsteps: 4162, return: 15.75
Episode: 202, total numsteps: 4178, return: 3.25
Episode: 203, total numsteps: 4213, return: 10.91
Episode: 204, total numsteps: 4234, return: -8.79
Episode: 205, total numsteps: 4252, return: -0.8
Episode: 206, total numsteps: 4271, return: 2.41
Episode: 207, total numsteps: 4286, return: 1.18
Episode: 208, total numsteps: 4304, return: 4.35
Episode: 209, total numsteps: 4316, return: -0.96
Episode: 210, total numsteps: 4329, return: -2.97
Episode: 211, total numsteps: 4342, return: -4.02
Episode: 212, total numsteps: 4355, return: 1.51
Episode: 213, total numsteps: 4381, return: 3.28
Episode: 214, total numsteps: 4414, return: 11.83
Episode: 215, total numsteps: 4437, return: 8.73
Episode: 216, total numsteps: 4454, return: 1.67
Episode: 217, total numsteps: 4465, return: -1.1
Episode: 218, total numsteps: 4481, return: -6.88
Episode: 219, total numsteps: 4501, return: -3.92
Episode: 220, total numsteps: 4543, return: 15.56
Episode: 221, total numsteps: 4555, return: -2.69
Episode: 222, total numsteps: 4567, return: 0.37
Episode: 223, total numsteps: 4583, return: -4.66
Episode: 224, total numsteps: 4606, return: 2.25
Episode: 225, total numsteps: 4631, return: -10.27
Episode: 226, total numsteps: 4649, return: -3.8
Episode: 227, total numsteps: 4672, return: 5.68
Episode: 228, total numsteps: 4685, return: 2.36
Episode: 229, total numsteps: 4711, return: 4.5
Episode: 230, total numsteps: 4741, return: 7.59
Episode: 231, total numsteps: 4755, return: -0.54
